Unnamed: 0,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
2408,mutual-1123-triplet-1,0,What does 'my parents bought a new flat in town' cause?,fake_sent1,What does 'my parents bought a new flat in town' cause?,gen,went past your house,have n't seen you for ages,lucky you did n't,james,1
1395,daily-dialogue-0106-triplet-2,0,What does 'robbed' cause?,fake_sent1,What does 'robbed' cause?,gen,hurt,go to the police station,stole all of my things,mugged me,0
713,dream-0274-triplet-4,0,"Where is 'wallet, two keys, and a letter' located?",fake_sent1,"Where is 'wallet, two keys, and a letter' located?",gen,bag,handbag,fill out this report,wallet,0
1966,dream-0047-triplet-10,0,What does 'a very big performance' cause?,fake_sent1,What does 'a very big performance' cause?,gen,prepare for the performance,ask her,a very big performance in just a week,crazy about dancing,0
3517,dream-0820-triplet-5,0,What property does 'laughing' have?,fake_sent1,What property does 'laughing' have?,gen,felt really good,important,costs no money,scientifically proven,2
3596,dream-0835-triplet-6,0,Which goal motivates the act/action 'keep the box in the shade'?,fake_sent1,Which goal motivates the act/action 'keep the box in the shade'?,gen,grow better,blood and bones,sun doesn't burn the little plants,the sun doesn't burn the little plants,3
3979,dream-0495-triplet-6,0,What does 'Mr. Tim' have?,fake_sent1,What does 'Mr. Tim' have?,gen,plot,paying tax,good salary,son Jerry,3
3519,dream-0820-triplet-7,0,What is 'laughing'?,fake_sent1,What is 'laughing'?,gen,workout,illness,learn to laugh,funny movies,0
517,dream-0227-triplet-9,0,What is an antonym of 'It hasn't rained for a week'?,fake_sent1,What is an antonym of 'It hasn't rained for a week'?,gen,beautiful day,it's going to rain,fine weather,sky is clear and blue,1
4083,dream-0522-triplet-3,0,What desire is caused by 'small reception'?,fake_sent1,What desire is caused by 'small reception'?,gen,launch our summer holiday advertising campaign,how many should I cater for,do some catering,confirmation of the arrangements,2
1455,daily-dialogue-0125-triplet-7,0,What is 'more squid balls'?,fake_sent1,What is 'more squid balls'?,gen,service,fruits,order more food,fruit,2
2486,mutual-1172-triplet-1,0,What is implied by 'part-time job'?,fake_sent1,What is implied by 'part-time job'?,gen,what do you do,where do you work,i am a student,cook travel,2
3233,dream-0373-triplet-4,0,What property does 'factory' have?,fake_sent1,What property does 'factory' have?,gen,see where our products are made,where our products are made,comfortable,Hum,1
2002,dream-0062-triplet-2,0,What does 'I saw an insect or something' cause?,fake_sent1,What does 'I saw an insect or something' cause?,gen,fresh bowl of soup,saw an insect,something in my soup,I won't charge you for the soup,2
584,dream-0247-triplet-2,0,What is 'a pen' obstructed by?,fake_sent1,What is 'a pen' obstructed by?,gen,my brother,my brother gave him that for his bithday last year,graduating from college,How about a pen,1
1971,dream-0049-triplet-4,0,What does 'feel sick' cause?,fake_sent1,What does 'feel sick' cause?,gen,bananas were not quite ripe,serious,"Help me, please",you'll be fine,2
3574,dream-0832-triplet-7,0,What does 'pubs' have?,fake_sent1,What does 'pubs' have?,gen,wine and beer,coffee,friendly,busy areas,1
436,dream-0193-triplet-5,0,What is a synonym of 'going home'?,fake_sent1,What is a synonym of 'going home'?,gen,send you a letter,travelling,hospital,be back,1
956,dream-0605-triplet-12,0,What is 'ask someone that could switch hours with you' obstructed by?,fake_sent1,What is 'ask someone that could switch hours with you' obstructed by?,gen,My boss just did me a favor by putting me on evenings,"plenty of room, but I have to take the starter course",offer an introductory course during the day,course in evening,0
668,dream-0263-triplet-11,0,What is 'clean up my diet' used for?,fake_sent1,What is 'clean up my diet' used for?,gen,eating too much,clean up my diet,given any advice,lose weight,3
474,dream-0216-triplet-3,0,What prerequisite does 'sending a letter' have?,fake_sent1,What prerequisite does 'sending a letter' have?,gen,return address,sending address,not insured,the city it's going to and the district,0
1106,mutual-0294-triplet-5,0,What is 'playing the piano'?,fake_sent1,What is 'playing the piano'?,gen,music,classical music,activity,major objective is to learn from others,2
2968,dream-0178-triplet-3,0,What property does 'takes a short sleep for an hour every six hours' have?,fake_sent1,What property does 'takes a short sleep for an hour every six hours' have?,gen,highly effective,sleep during the day,full of energy,best way for human beings,0
100,daily-dialogue-1063-triplet-5,0,What happens after 'lost my wallet'?,fake_sent1,What happens after 'lost my wallet'?,gen,late,found it again,missed the bus,lost my wallet,1
1305,daily-dialogue-0070-triplet-3,0,What subevent does 'trip' have?,fake_sent1,What subevent does 'trip' have?,gen,enjoying your trip,jazz club,what do you want to do,been to a jazz club,3
2569,daily-dialogue-3517-triplet-4,0,What is 'skating'?,fake_sent1,What is 'skating'?,gen,interesting,sorry,rules,Aerobic sports,3
4195,mutual-0202-triplet-1,0,What is 'come to the movies with us' used for?,fake_sent1,What is 'come to the movies with us' used for?,gen,break,movies,been in the library,relax,3
2918,dream-0166-triplet-4,0,What property does 'heavy wool gloves' have?,fake_sent1,What property does 'heavy wool gloves' have?,gen,?,expensive,be it,made of silk,1
3380,dream-0441-triplet-3,0,"What is 'heard descend 2,000 feet'?",fake_sent1,"What is 'heard descend 2,000 feet'?",gen,tragic accident,What happened,attempting to land at night,really bad mistake,3
1588,daily-dialogue-0173-triplet-8,0,What property does 'live band' have?,fake_sent1,What property does 'live band' have?,gen,perfect condition,fun,checked into it,music need money,1
2200,mutual-0075-triplet-3,0,What desire is caused by 'i found a new way to learn chinese'?,fake_sent1,What desire is caused by 'i found a new way to learn chinese'?,gen,do tell me,made little progress,poor,trying to learn something new,0
1379,daily-dialogue-0092-triplet-3,0,What desire is caused by 'most intelligent'?,fake_sent1,What desire is caused by 'most intelligent'?,gen,vote,love my candidate,vote for,can ’ t wait to vote,2
3072,dream-0331-triplet-5,0,What property does 'Coal' have?,fake_sent1,What property does 'Coal' have?,gen,important,dirty,lecture,coal,1
205,daily-dialogue-1143-triplet-2,0,What desire is caused by 'We are hungry'?,fake_sent1,What desire is caused by 'We are hungry'?,gen,order food,remind you,good,bring our salads to us now,3
2730,dream-0119-triplet-3,0,What desire is caused by 'haven't watched a football match for a long time'?,fake_sent1,What desire is caused by 'haven't watched a football match for a long time'?,gen,match,All right.,go with me,watched a football,3
2329,mutual-1051-triplet-4,0,What does 'shortage of high school teachers' cause?,fake_sent1,What does 'shortage of high school teachers' cause?,gen,applied to 3 schools and each one offered me a position,sharon,difficult,take so much time,0
1469,daily-dialogue-0136-triplet-4,0,What does 'They are on the wrong bus' cause?,fake_sent1,What does 'They are on the wrong bus' cause?,gen,not completely sure,know which bus to catch,never trusting you with the bus schedules,doesn't look like we're on our way to Altadena,2
693,dream-0272-triplet-1,0,What prerequisite does 'send a letter' have?,fake_sent1,What prerequisite does 'send a letter' have?,gen,an American flag,familiar,got a stamp,turn right,2
2803,dream-0139-triplet-6,0,Which goal motivates the act/action 'call me'?,fake_sent1,Which goal motivates the act/action 'call me'?,gen,you were coming to our city,Hello?,find me,haft,2
3998,dream-0496-triplet-2,0,What does 'feeling a bit under the weather' cause?,fake_sent1,What does 'feeling a bit under the weather' cause?,gen,don't look very well,haven't been out,been to the doctor,everything alright,1
1129,daily-dialogue-0001-triplet-5,0,What is 'special party make up' the social norm for?,fake_sent1,What is 'special party make up' the social norm for?,gen,lips shine,formal party,have to bring a gift,open presents,1
1759,daily-dialogue-1021-triplet-2,0,Where is 'special local product' located?,fake_sent1,Where is 'special local product' located?,gen,?,buy these tax free,duty-free shop,bottles,2
3965,dream-0493-triplet-6,0,What property does 'a secretary' have?,fake_sent1,What property does 'a secretary' have?,gen,excellent,sending faxes,secretary,tell me about yourself,1
992,dream-0606-triplet-24,0,What does 'health' cause?,fake_sent1,What does 'health' cause?,gen,do exercise together,offto the gym,it's impossible to get enough people together,look good,3
1881,dream-0034-triplet-1,0,What desire is caused by 'Saturday afternoon'?,fake_sent1,What desire is caused by 'Saturday afternoon'?,gen,washing down the kitchen walls,doing nothing,having lunch with Georgia,All right.,1
4031,dream-0498-triplet-2,0,What property does 'Robin' have?,fake_sent1,What property does 'Robin' have?,gen,cyclists,leave Ottawa at seven o'clock,president of the Martha Bicycle Club,cyclists can do it in four hours,2
4006,dream-0496-triplet-10,0,What does 'Mrs. Wong' desire?,fake_sent1,What does 'Mrs. Wong' desire?,gen,feeling a bit under the weather,haven't been out,pop into the supermarket,eating,2
4147,dream-0012-triplet-1,0,What property does 'flea market' have?,fake_sent1,What property does 'flea market' have?,gen,changes,the goods there have been used before,lucky,good books,1
105,daily-dialogue-1064-triplet-4,0,What does 'car is still in the garage' cause?,fake_sent1,What does 'car is still in the garage' cause?,gen,give me a ride,have an appointment in 20 minutes,get it fixed,bad luck,3
2038,dream-0319-triplet-5,0,What is 'Coke'?,fake_sent1,What is 'Coke'?,gen,a great idea,stayed in the hospital,drinks,Saturday,2
1377,daily-dialogue-0092-triplet-1,0,What is implied by 'I also agree with all his policies'?,fake_sent1,What is implied by 'I also agree with all his policies'?,gen,love my candidate,agree with all his policies,most intelligent,that,2
3722,dream-0867-triplet-5,0,What does 'Disneyland' have?,fake_sent1,What does 'Disneyland' have?,gen,couple of days,enjoy your visit,Tomorrow Land,believe,2
3872,dream-0466-triplet-6,0,What is implied by 'don't take phone orders'?,fake_sent1,What is implied by 'don't take phone orders'?,gen,aren't enough people,avoid this long wait,two more hours before the ticket office closes,it,1
2658,dream-0108-triplet-3,0,What happens after 'talk to you'?,fake_sent1,What happens after 'talk to you'?,gen,talk to you,He hasn't told,chosen you for the job,talk to you about it,2
2518,mutual-1205-triplet-2,0,What does 'i have a very important job and i ca n't miss any work' cause?,fake_sent1,What does 'i have a very important job and i ca n't miss any work' cause?,gen,coming down with something,"cold , but i do n't know for sure",i ca n't miss any work,give me something strong,3
3167,dream-0357-triplet-2,0,What does 'had something more important' cause?,fake_sent1,What does 'had something more important' cause?,gen,why not tell me,mobile phone power off,didn't you come to the cinema last night,waited for you,3
1420,daily-dialogue-0113-triplet-2,0,What does 'fresh' cause?,fake_sent1,What does 'fresh' cause?,gen,recommend,ready to order,All right .,special,0
2909,dream-0161-triplet-6,0,What property does 'sports shoes' have?,fake_sent1,What property does 'sports shoes' have?,gen,iron shoes,Mrs. Smith,leather shoes,comfortable,3
242,daily-dialogue-1164-triplet-7,0,What desire is caused by 'four stores were broken into'?,fake_sent1,What desire is caused by 'four stores were broken into'?,gen,loot,looting,took advantage of the blackout,looters get caught,3
3582,dream-0833-triplet-5,0,What property does 'horror films' have?,fake_sent1,What property does 'horror films' have?,gen,stupid,cinema,mystery film,special effect,0
3241,dream-0375-triplet-3,0,Which goal motivates the act/action 'she often hides in her room'?,fake_sent1,Which goal motivates the act/action 'she often hides in her room'?,gen,upset,worried about my daughter,sends messages to her friends,concerned,2
91,daily-dialogue-1061-triplet-3,0,What desire is caused by 'first day for you to work'?,fake_sent1,What desire is caused by 'first day for you to work'?,gen,require help,keeping all files,ask the caller to leave a message,lot to learn,3
1466,daily-dialogue-0136-triplet-1,0,What is implied by 'It doesn't look like we're on our way to Altadena'?,fake_sent1,What is implied by 'It doesn't look like we're on our way to Altadena'?,gen,we're on our way to Altadena,we know which bus to catch,we on the right bus,it says Temple City .,2
9,daily-dialogue-1004-triplet-3,0,What desire is caused by 'like this jacket'?,fake_sent1,What desire is caused by 'like this jacket'?,gen,try it on,try clothes,jackets,looking for a new jacket,0
2007,dream-0062-triplet-7,0,Where is 'insect' located?,fake_sent1,Where is 'insect' located?,gen,noodles,lunch,wrong,fresh bowl of soup,0
400,daily-dialogue-1242-triplet-4,0,Which goal motivates the act/action 'standing here'?,fake_sent1,Which goal motivates the act/action 'standing here'?,gen,reach the park,Why are you standing here in the cold wind,cold weather,waiting for a bus,3
2133,mutual-0027-triplet-4,0,What does 'nervous' cause?,fake_sent1,What does 'nervous' cause?,gen,going to bed,i 'm so nervous,i ca n't fall asleep,up late studying for the math exam,2
4221,mutual-0229-triplet-2,0,What does 'louder' cause?,fake_sent1,What does 'louder' cause?,gen,hear myself think,it was that loud,sorry,ca n't even hear myself,3
1709,daily-dialogue-0438-triplet-1,0,What prerequisite does 'ski' have?,fake_sent1,What prerequisite does 'ski' have?,gen,Somebody up there loves me,hoard,skies can't hold out on us forever,snow,3
3547,dream-0827-triplet-4,0,What is implied by 'struck by lightning'?,fake_sent1,What is implied by 'struck by lightning'?,gen,killed,lightning starts thousands of fires,don't take any chances,caught in a thunderstorm,3
1061,mutual-0280-triplet-3,0,What desire is caused by 'visit uncle lee 's family'?,fake_sent1,What desire is caused by 'visit uncle lee 's family'?,gen,flying to visit uncle lee 's family,clothes should i take,cousin susan can pick you up,yes,1
3023,dream-0313-triplet-4,0,What does ''d like a room' cause?,fake_sent1,What does ''d like a room' cause?,gen,pay by check,a single room please,the,Thank you,0
586,dream-0247-triplet-4,0,What is implied by 'he is quite athletic'?,fake_sent1,What is implied by 'he is quite athletic'?,gen,toknow that before we begin looking,get him a tennis racket,gift,he doesn't like chess very much,3
1062,mutual-0280-triplet-4,0,What desire is caused by 'it rains a lot'?,fake_sent1,What desire is caused by 'it rains a lot'?,gen,borrow an umbrella,pack some t-shirts,clothes,borrow,0
1302,daily-dialogue-0069-triplet-3,0,What does 'Are you doing anything tonight' cause?,fake_sent1,What does 'Are you doing anything tonight' cause?,gen,concert,go and listen to it,like western music,Are you doing anything,1
1788,daily-dialogue-1891-triplet-5,0,What does 'They had a deal who lost will buy movie tickets' cause?,fake_sent1,What does 'They had a deal who lost will buy movie tickets' cause?,gen,It looks like you have to buy tickets for us,want a rematch,not going to see an action movie,who lost will buy movie tickets,0
3353,dream-0427-triplet-8,0,What is implied by 'suffered for six month'?,fake_sent1,What is implied by 'suffered for six month'?,gen,won't need to wear the wedding dress again,Dieting is so boring,meat is not allowed in your diet,size,1
1643,daily-dialogue-0323-triplet-3,0,What does 'so quiet' cause?,fake_sent1,What does 'so quiet' cause?,gen,eerie,neighbors don't even seem to exist,silence,we moved,0
3014,dream-0312-triplet-1,0,What is 'look for a bigger house' obstructed by?,fake_sent1,What is 'look for a bigger house' obstructed by?,gen,spent so much money on your vacation,happy vacation,pay for the rent,I don't see how I can afford one,3
2714,dream-0116-triplet-7,0,Where is 'sports center' located?,fake_sent1,Where is 'sports center' located?,gen,watched a basketball match,See you,been to the new sports center,Saturday,0
2395,mutual-1114-triplet-1,0,What is 'prepare for your trip to the beach' obstructed by?,fake_sent1,What is 'prepare for your trip to the beach' obstructed by?,gen,go when the weather is better,weather report is calling for rain this weekend,weekend,work a half day,1
1793,dream-0002-triplet-1,0,What does 'my wife does.' cause?,fake_sent1,What does 'my wife does.' cause?,gen,a lot of them,like them very much,buy some from you,buy some,2
2014,dream-0063-triplet-4,0,What is implied by 'Are the taxis in London all black'?,fake_sent1,What is implied by 'Are the taxis in London all black'?,gen,wait with you,first time in London,know,wait by the roadside,1
3438,dream-0806-triplet-6,0,Which goal motivates the act/action 'worked hard'?,fake_sent1,Which goal motivates the act/action 'worked hard'?,gen,order another pen,don't have another purple one,three dollars more,save up,3
3356,dream-0431-triplet-2,0,What does 'my alarm clock that didn't wake me up' cause?,fake_sent1,What does 'my alarm clock that didn't wake me up' cause?,gen,didn't wake me up,rushed to school,late for the following class,late for class within this week,3
2203,mutual-0076-triplet-2,0,What does 'pretty bad accident' cause?,fake_sent1,What does 'pretty bad accident' cause?,gen,car,i 'm lucky,a little frightened,i,2
200,daily-dialogue-1139-triplet-4,0,What property does 'nice apples' have?,fake_sent1,What property does 'nice apples' have?,gen,dollars,Anything,these,Very sweet,3
727,dream-0288-triplet-1,0,What is 'heat' capable of?,fake_sent1,What is 'heat' capable of?,gen,medicine,not become ill from the heat,make anyone ill,vacation,2
2010,dream-0062-triplet-10,0,What does 'something in my soup' cause?,fake_sent1,What does 'something in my soup' cause?,gen,something in my soup,Thanks,I won't charge you for the soup,free lunch,2
583,dream-0247-triplet-1,0,What desire is caused by 'nephew Jim is graduating from college next week'?,fake_sent1,What desire is caused by 'nephew Jim is graduating from college next week'?,gen,get him a tennis racket,like to get him a nice gift,May I help you,price range,1
3538,dream-0825-triplet-7,0,Which goal motivates the act/action 'talked with the experienced teachers'?,fake_sent1,Which goal motivates the act/action 'talked with the experienced teachers'?,gen,learn to read and write Chinese,be an ESL teacher,give the students a chance to practice speaking,knowledgeable,1
1197,daily-dialogue-0017-triplet-1,0,What is 'pet lizard' capable of?,fake_sent1,What is 'pet lizard' capable of?,gen,harmless,moved,skin feels really cool,lizard,1
3985,dream-0495-triplet-12,0,What does 'Mr. Tim' desire?,fake_sent1,What does 'Mr. Tim' desire?,gen,plot,paying tax,build a house without permission,buy some land,3
1477,daily-dialogue-0139-triplet-2,0,What does 'don't have any cash with me' cause?,fake_sent1,What does 'don't have any cash with me' cause?,gen,have the check,bring some to-go boxes,accept credit cards and cash,put it on credit,3
329,daily-dialogue-1202-triplet-5,0,What does 'stayed at home' cause?,fake_sent1,What does 'stayed at home' cause?,gen,no problem,look unhappy,stayed at home,feel very lonely,1
3400,dream-0449-triplet-1,0,"What is 'hamburgers, sandwiches'?",fake_sent1,"What is 'hamburgers, sandwiches'?",gen,fast food,convenient,not bad,convenience,0
2833,dream-0146-triplet-2,0,What does 'careless' cause?,fake_sent1,What does 'careless' cause?,gen,got into trouble,need relaxation,made me laugh a lot,like it,0
3534,dream-0825-triplet-3,0,Which goal motivates the act/action 'talked with the experienced teachers'?,fake_sent1,Which goal motivates the act/action 'talked with the experienced teachers'?,gen,speak a foreign language,teach English,experienced teachers,learn to read and write Chinese,1
1174,daily-dialogue-0011-triplet-2,0,What does 'Kind acknowledgments' cause?,fake_sent1,What does 'Kind acknowledgments' cause?,gen,"say "" Thank you",Acknowledgments,show one's good attainment,show their good attainment,2
2680,dream-0111-triplet-9,0,What is 'job'?,fake_sent1,What is 'job'?,gen,job,being a nurse,expensive,have no regrets,1
557,dream-0242-triplet-7,0,What prerequisite does 'birthday celebration' have?,fake_sent1,What prerequisite does 'birthday celebration' have?,gen,know,beautiful skirt,cook a few dishes,shopping,3
841,dream-0589-triplet-14,0,What does 'terrible accident' cause?,fake_sent1,What does 'terrible accident' cause?,gen,meeting someone after accident killing someone someone close had a terrible accident,can hardly recognize you,laid up in a hospital over there for three weeks,it,2
2379,mutual-1088-triplet-1,0,What desire is caused by 'manage a very busy agency'?,fake_sent1,What desire is caused by 'manage a very busy agency'?,gen,hire an assistant,hire you,help,help by answering phones and typing documents,3
1735,daily-dialogue-0478-triplet-1,0,What does 'don ’ t need two different accounts anymore' cause?,fake_sent1,What does 'don ’ t need two different accounts anymore' cause?,gen,cancel an account,don ’ t need two different accounts anymore,do that for you,fine .,0
3192,dream-0362-triplet-1,0,What happens after 'talked'?,fake_sent1,What happens after 'talked'?,gen,haven't seen you for ages,someone is knocking at the door,changed my job,at least a year,0
1644,daily-dialogue-0323-triplet-4,0,What is implied by 'so quiet'?,fake_sent1,What is implied by 'so quiet'?,gen,first night in our new apartment,good thing we moved,neighbors don't even seem to exist,eerie,2
3196,dream-0362-triplet-5,0,What is 'changed my job'?,fake_sent1,What is 'changed my job'?,gen,talking to you,how are you,transferred from the German Department to the Spanish Department,changed my job,2
3663,dream-0849-triplet-7,0,What is 'go to see a movie' obstructed by?,fake_sent1,What is 'go to see a movie' obstructed by?,gen,Are you serious,Waking up early,have to work tomorrow,could never sleep that late,2
1681,daily-dialogue-0409-triplet-1,0,What property does 'beautiful city' have?,fake_sent1,What property does 'beautiful city' have?,gen,comfortable,climate here is pleasant,beautiful,No other city can match it,1
3433,dream-0806-triplet-1,0,What desire is caused by 'birthday'?,fake_sent1,What desire is caused by 'birthday'?,gen,bought this pen,call you,three dollars more,have this pen in black and yellow,0
950,dream-0605-triplet-6,0,Which goal motivates the act/action 'work in the cafe'?,fake_sent1,Which goal motivates the act/action 'work in the cafe'?,gen,switch a couple of evenings,money,courses are actually cheaper,not so great,1
3515,dream-0820-triplet-3,0,What does 'watched funny movies' cause?,fake_sent1,What does 'watched funny movies' cause?,gen,Laughter,learned this,Wow,laugh,0
599,dream-0253-triplet-2,0,What desire is caused by 'they've never been to the UK before'?,fake_sent1,What desire is caused by 'they've never been to the UK before'?,gen,expect me to be there,difficulty in moving around,take maybe just two days off,get all of the materials,0
2661,dream-0109-triplet-2,0,What prerequisite does 'get to know it' have?,fake_sent1,What prerequisite does 'get to know it' have?,gen,use it,seen the job,not,have a try,0
3074,dream-0334-triplet-2,0,What desire is caused by 'had car trouble.'?,fake_sent1,What desire is caused by 'had car trouble.'?,gen,telephoned,get change,car trouble,gotten some change in a store,0
1528,daily-dialogue-0150-triplet-2,0,What is 'pockets' used for?,fake_sent1,What is 'pockets' used for?,gen,Cool !,slimming,side pockets,flashlight,3
825,dream-0585-triplet-7,0,What desire is caused by 'it didn't work'?,fake_sent1,What desire is caused by 'it didn't work'?,gen,possessive,Camilla and I are breaking up,cook,need some space for myself,1
1938,dream-0040-triplet-1,0,What does 'A serious accident happened' cause?,fake_sent1,What does 'A serious accident happened' cause?,gen,be safe,large crowd on the street corner,serious accident happened,hit a bus full of passengers,1
3550,dream-0828-triplet-1,0,What property does 'start your new job' have?,fake_sent1,What property does 'start your new job' have?,gen,happy with the new job,very considerate,satisfied with the job,demanding,3
3296,dream-0398-triplet-2,0,"What does 'rushed out of the box, went to the nearest house, and phoned the police' cause?",fake_sent1,"What does 'rushed out of the box, went to the nearest house, and phoned the police' cause?",gen,late for school,had to go and continue the delivery of my newspapers,collected my newspapers,have a better look,0
2485,mutual-1170-triplet-1,0,What does 'i have looked after myself' cause?,fake_sent1,What does 'i have looked after myself' cause?,gen,kept you waiting,does n't matter,looked after myself,that 's just fine,3
2003,dream-0062-triplet-3,0,What is 'free lunch'?,fake_sent1,What is 'free lunch'?,gen,I won't charge you for the soup,wrong,bowl,fresh bowl of soup,0
3410,dream-0800-triplet-7,0,Which goal motivates the act/action 'be a role model'?,fake_sent1,Which goal motivates the act/action 'be a role model'?,gen,still fun,Where do you go,have fun,influence people,3
1355,daily-dialogue-0081-triplet-8,0,What is 'find a place' obstructed by?,fake_sent1,What is 'find a place' obstructed by?,gen,going home,expensive,look for an apartment,classified ads,1
1136,daily-dialogue-0002-triplet-3,0,What is 'hospital emergency ward' used for?,fake_sent1,What is 'hospital emergency ward' used for?,gen,necessary,serious,busy,worse,1
1991,dream-0056-triplet-4,0,What does 'my first trip to your city' cause?,fake_sent1,What does 'my first trip to your city' cause?,gen,welcome to our city,where the post office is,gate of the post office,bye,0
1873,dream-0030-triplet-5,0,Which goal motivates the act/action 'But what time is the clinic closed'?,fake_sent1,Which goal motivates the act/action 'But what time is the clinic closed'?,gen,later time,clinic open,not on duty,He'll be here the day after tomorrow,1
4208,mutual-0215-triplet-3,0,What is 'feel sick and coughed a lot at night' the social norm for?,fake_sent1,What is 'feel sick and coughed a lot at night' the social norm for?,gen,serious,doctor,have a rest,speaking,2
2448,mutual-1145-triplet-1,0,What does 'you two really look like each other' cause?,fake_sent1,What does 'you two really look like each other' cause?,gen,surprise,look like each other,i 'm not lily,on a holiday,2
